DATE,PLAYER,TEAM,MARKET,LINE,ACTUAL,didHitOver,SEASON_VAL,RECENT_OVER_PROB,RECENT_N,BASE_PROB,ADJ_PROB_BEFORE_INJ,FINAL_OVER_PROB,INJ_Status,IS_OUT,IS_LIMITED,FINAL_OVER_PROB_PCT,MODEL_BINARY,ERROR_RAW,ERROR_MODEL,ODDS,IMPLIED_PROB,LINE_TO_SEASON_DIFF,DIFFICULTY_FACTOR,UNDERDOG_FACTOR,EDGE_MODEL,AIR_SCORE,PRED_FINAL_OVER_PROB,PRED_IMPLIED_PROB,PRED_EDGE_MODEL,PRED_MODEL_BINARY
11/11/2025,Mikal Bridges,NYK,3PM,1.5,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
11/11/2025,Isaiah Joe,OKC,3PM,2.5,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
11/11/2025,Jock Landale,MEM,3PM,0.5,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
11/11/2025,Russell Westbrook,SAC,3PM,1.5,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
11/11/2025,Moses Moody,GSW,3PM,1.5,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
11/11/2025,Shai Gilgeous-Alexander,OKC,3PM,1.5,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
11/11/2025,Anfernee Simons,BOS,3PM,2.5,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
11/11/2025,OG Anunoby,NYK,3PM,2.5,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
11/11/2025,Scottie Barnes,TOR,3PM,1.5,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
11/11/2025,Zach LaVine,SAC,3PM,2.5,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
11/11/2025,Isaiah Joe,OKC,PTS,11.5,18.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
11/11/2025,Jock Landale,MEM,PTS,8.5,8.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
11/11/2025,Brandon Ingram,TOR,PTS,19.5,25.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
11/11/2025,Zach LaVine,SAC,PTS,21.5,12.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
11/11/2025,Brandin Podziemski,GSW,PTS,9.5,10.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
11/11/2025,Cedric Coward,MEM,PTS,12.5,11.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
11/11/2025,Moses Moody,GSW,PTS,8.5,10.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
11/11/2025,Ajay Mitchell,OKC,PTS,15.5,17.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
11/11/2025,OG Anunoby,NYK,PTS,16.5,16.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
11/11/2025,Quentin Grimes,PHI,PTS,14.5,18.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
11/11/2025,Miles McBride,NYK,REB,1.5,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
11/11/2025,Bruce Brown,DEN,REB,2.5,7.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
11/11/2025,Tyrese Maxey,PHI,REB,3.5,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
11/11/2025,Domantas Sabonis,SAC,REB,12.5,8.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
11/11/2025,Russell Westbrook,SAC,REB,4.5,8.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
11/11/2025,Brandon Ingram,TOR,REB,5.5,5.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
11/11/2025,Isaiah Hartenstein,OKC,REB,10.5,7.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
11/11/2025,Moses Moody,GSW,REB,2.5,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
11/11/2025,Jamal Murray,DEN,REB,3.5,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
11/11/2025,Cedric Coward,MEM,REB,5.5,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
11/11/2025,Brandon Ingram,TOR,AST,3.5,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
11/11/2025,Isaiah Hartenstein,OKC,AST,2.5,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
11/11/2025,Brandin Podziemski,GSW,AST,2.5,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
11/11/2025,Mikal Bridges,NYK,AST,4.5,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
11/11/2025,VJ Edgecombe,PHI,AST,3.5,3.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
11/11/2025,Miles McBride,NYK,AST,2.5,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
11/11/2025,Terance Mann,BKN,AST,3.5,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
11/11/2025,Lauri Markkanen,UTA,AST,1.5,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
11/11/2025,Karl-Anthony Towns,NYK,AST,2.5,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
11/11/2025,Christian Braun,DEN,AST,2.5,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
11/11/2025,Christian Braun,DEN,STL,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
11/11/2025,Jakob Poeltl,TOR,STL,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
11/11/2025,Lauri Markkanen,UTA,STL,0.5,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
11/11/2025,Chet Holmgren,OKC,STL,0.5,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
11/11/2025,Jaylen Brown,BOS,STL,0.5,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
11/11/2025,Isaiah Collier,UTA,STL,0.5,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
11/11/2025,Domantas Sabonis,SAC,STL,0.5,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
11/11/2025,Immanuel Quickley,TOR,STL,0.5,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
11/11/2025,Karl-Anthony Towns,NYK,STL,0.5,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
11/11/2025,Aaron Nesmith,IND,STL,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
11/12/2025,Mikal Bridges,NYK,3PM,1.5,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
11/12/2025,Landry Shamet,NYK,3PM,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
11/12/2025,Royce O'Neale,PHX,3PM,2.5,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
11/12/2025,Collin Gillespie,PHX,3PM,1.5,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
11/12/2025,Isaiah Joe,OKC,3PM,2.5,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
11/12/2025,Harrison Barnes,SAS,3PM,1.5,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
11/12/2025,Max Christie,DAL,3PM,1.5,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
11/12/2025,Josh Hart,NYK,3PM,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
11/12/2025,Reed Sheppard,HOU,3PM,1.5,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
11/12/2025,Josh Okogie,HOU,3PM,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
